RequestID,RequestFromEmpID,Brand,RequestCode,ProjectID,RequestType,Module,AllocateHours,ScopeOfWork,ProjectStatus,RequestStatus,RequestDate,SerialNo,ReqCreateDate,ReqRecvDate,EstimateHours,CRNRStatus,WorkStatus,CRNRStatusUpdatedBY,RaiseInvoice,WorkActionDate,Worktype,InitiatedBy,PONumber,POStatus
183,1596,ICICI Lombard,2679_NR_0001,2679,NR,sd,,2323,,,2024-04-30 10:15:17.787,1,2024-04-30 10:15:17.787,2024-04-30,242,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
184,1596,ICICI Lombard,2679_NR_0002,2679,NR,sd,,2323,,,2024-04-30 10:15:51.327,2,2024-04-30 10:15:51.327,2024-04-30,242,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
185,1596,ICICI Lombard,2679_NR_0003,2679,NR,sd,,2323,,,2024-04-30 10:15:56.787,3,2024-04-30 10:15:56.787,2024-04-30,242,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
186,1596,ICICI Lombard,2679_CR_0004,2679,CR,er,,dfsdf,,,2024-04-30 10:21:59.367,4,2024-04-30 10:21:59.367,2024-04-30,33,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
187,1596,ICICI Lombard,2679_CR_0005,2679,CR,33,,dfsdf,,,2024-04-30 10:22:45.140,5,2024-04-30 10:22:45.140,2024-04-30,33,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
188,1596,ICICI Lombard,2679_CR_0006,2679,CR,asd,,232,,,2024-04-30 10:25:17.070,6,2024-04-30 10:25:17.070,2024-04-30,33,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
189,1596,ICICI Lombard,2679_CR_0007,2679,CR,test5,,5,,,2024-04-30 10:36:39.193,7,2024-04-30 10:36:39.193,2024-04-30,5,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
190,1596,ICICI Lombard,2679_NR_0004,2679,NR,test9,,9,,,2024-04-30 10:36:50.663,4,2024-04-30 10:36:50.663,2024-04-30,9,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
191,1596,ICICI Lombard,2679_NR_0005,2679,NR,test9,,9,,,2024-04-30 10:36:56.710,5,2024-04-30 10:36:56.710,2024-04-30,9,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
192,1596,ICICI Lombard,2679_CR_0008,2679,CR,test7,,7,,,2024-04-30 10:37:23.427,8,2024-04-30 10:37:23.427,2024-04-30,7,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
193,1596,ICICI Lombard,2679_CR_0009,2679,CR,test7,11,7,,,2024-04-30 10:37:25.867,9,2024-04-30 10:37:25.867,2024-04-30,7,Approved,You have to start,1634.0,,2025-03-11 14:42:55.190,,,,
194,1596,ICICI Lombard,2679_CR_0010,2679,CR,test7,2,7,,,2024-04-30 10:37:28.153,10,2024-04-30 10:37:28.153,2024-04-30,7,Approved,In Progress,1634.0,,2024-08-21 11:12:30.220,,,,
195,1596,ICICI Lombard,2679_CR_0011,2679,CR,test13,20,21,,,2024-04-30 10:40:07.550,11,2024-04-30 10:40:07.550,2024-04-30,12,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
196,1596,ICICI Lombard,2679_CR_0012,2679,CR,test5,30,5,,,2024-04-30 10:41:24.130,12,2024-04-30 10:41:24.130,2024-04-30,5,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
197,1596,ICICI Lombard,2679_CR_0013,2679,CR,test8,30,8,,,2024-04-30 10:45:11.770,13,2024-04-30 10:45:11.770,2024-04-30,8,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
198,1596,ICICI Lombard,2679_CR_0014,2679,CR,test9,,9,,,2024-04-30 10:48:59.387,14,2024-04-30 10:48:59.387,2024-04-30,9,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
199,1596,ICICI Lombard,2679_CR_0015,2679,CR,test9,1,1,,,2024-04-30 10:51:33.347,15,2024-04-30 10:51:33.347,2024-04-30,1,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
200,1596,ICICI Lombard,2679_CR_0016,2679,CR,test8,20,8,,,2024-04-30 10:51:43.920,16,2024-04-30 10:51:43.920,2024-04-30,8,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
201,1596,ICICI Bank,1417_CR_0053,1417,CR,test7,25,7,,,2024-04-30 10:54:14.763,53,2024-04-30 10:54:14.763,2024-04-30,7,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
202,1596,ICICI Bank,1417_NR_0015,1417,NR,test8,20,8,,,2024-04-30 10:54:36.083,15,2024-04-30 10:54:36.083,2024-04-30,8,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
203,1596,ICICI Lombard,2679_CR_0017,2679,CR,test6,0,8,,,2024-04-30 10:56:25.903,17,2024-04-30 10:56:25.903,2024-04-30,8,Absorbed,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
204,1596,ICICI Lombard,2679_CR_0018,2679,CR,test5,30,80,,,2024-04-30 10:56:47.520,18,2024-04-30 10:56:47.520,2024-04-30,80,Approved,Done,1634.0,,2024-05-13 10:36:35.963,,,,
205,1596,ICICI Lombard,2679_NR_0006,2679,NR,test5,,90,,,2024-04-30 11:00:22.420,6,2024-04-30 11:00:22.420,2024-04-30,90,Rejected,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
206,1596,ICICI Lombard,2679_NR_0007,2679,NR,test5,0,52,,,2024-04-30 11:01:03.550,7,2024-04-30 11:01:03.550,2024-04-30,52,Absorbed,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
207,1596,ICICI Lombard,2679_CR_0019,2679,CR,test8,10,55,,,2024-04-30 11:02:31.603,19,2024-04-30 11:02:31.603,2024-04-30,55,Approved,On Hold,1634.0,,2024-05-13 10:36:35.963,,,,
208,1596,ICICI Lombard,2679_CR_0020,2679,CR,test8,0,58,,,2024-04-30 11:07:39.543,20,2024-04-30 11:07:39.543,2024-04-30,58,Absorbed,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
209,1596,ICICI Lombard,2679_CR_0021,2679,CR,test9,22,69,,,2024-04-30 11:08:02.287,21,2024-04-30 11:08:02.287,2024-04-30,69,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
210,1596,ICICI Lombard,2679_NR_0008,2679,NR,asd,25,3,,,2024-04-30 11:16:49.927,8,2024-04-30 11:16:49.927,2024-04-30,33,Approved,Done,1634.0,,2024-05-13 10:36:35.963,,,,
211,1596,Kotak General Insurance,2483_CR_0001,2483,CR,as,,22,,,2024-04-30 11:19:53.063,1,2024-04-30 11:19:53.063,2024-04-30,22,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
212,1596,Kotak General Insurance,2483_CR_0002,2483,CR,22,,22,,,2024-04-30 11:20:01.760,2,2024-04-30 11:20:01.760,2024-04-30,22,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
213,1596,Kotak General Insurance,2483_NR_0001,2483,NR,33,,23,,,2024-04-30 11:20:13.680,1,2024-04-30 11:20:13.680,2024-04-30,222,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
214,1596,Kotak General Insurance,2483_CR_0003,2483,CR,ds,,df,,,2024-04-30 11:34:01.557,3,2024-04-30 11:34:01.557,2024-04-30,33,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
215,1596,Kotak General Insurance,2483_NR_0002,2483,NR,qw,,qweq,,,2024-04-30 11:34:18.010,2,2024-04-30 11:34:18.010,2024-04-30,33,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
216,1596,Kotak General Insurance,2483_NR_0003,2483,NR,w,,we,,,2024-04-30 11:34:25.730,3,2024-04-30 11:34:25.730,2024-04-30,33,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
217,1596,ICICI Bank,1417_CR_0054,1417,CR,w,5,w,,,2024-04-30 11:36:57.787,54,2024-04-30 11:36:57.787,2024-04-30,1,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
218,1596,ICICI Bank,1417_NR_0016,1417,NR,s,5,ww,,,2024-04-30 11:37:09.507,16,2024-04-30 11:37:09.507,2024-04-30,11,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
219,1596,ICICI Bank,1417_CR_0055,1417,CR,w,,w,,,2024-04-30 11:37:54.940,55,2024-04-30 11:37:54.940,2024-04-30,11,Rejected,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
220,1596,ICICI Bank,1417_CR_0056,1417,CR,d,11,w,,,2024-04-30 11:38:05.783,56,2024-04-30 11:38:05.783,2024-04-30,2,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
221,1596,ICICI Bank,1417_NR_0017,1417,NR,w,0,w,,,2024-04-30 11:38:15.000,17,2024-04-30 11:38:15.000,2024-04-30,1,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
222,1596,ICICI Bank,1417_CR_0057,1417,CR,w,25,w,,,2024-04-30 11:38:27.567,57,2024-04-30 11:38:27.567,2024-04-30,1,Approved,Done,1634.0,,2024-05-13 10:36:35.963,,,,
223,1596,ICICI Bank,1417_NR_0018,1417,NR,d,25,f,,,2024-04-30 11:38:33.217,18,2024-04-30 11:38:33.217,2024-04-30,3,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
224,1596,ICICI Bank,1417_NR_0019,1417,NR,s,22,s,,,2024-04-30 11:41:42.013,19,2024-04-30 11:41:42.013,2024-04-30,1,Approved,Done,1634.0,,2024-05-13 10:36:35.963,,,,
225,1596,ICICI Bank,1417_NR_0020,1417,NR,aa,33,w,,,2024-04-30 11:42:07.170,20,2024-04-30 11:42:07.170,2024-04-30,222222,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
226,1596,ICICI Bank,1417_CR_0058,1417,CR,as,15,2112,,,2024-04-30 11:48:07.937,58,2024-04-30 11:48:07.937,2024-04-30,211,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
227,1596,ICICI Bank,1417_NR_0021,1417,NR,2,0,12,,,2024-04-30 11:48:16.067,21,2024-04-30 11:48:16.067,2024-04-30,1,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
228,1596,ICICI Bank,1417_CR_0059,1417,CR,21,20,21,,,2024-04-30 11:48:26.350,59,2024-04-30 11:48:26.350,2024-04-30,21,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
229,1596,ICICI Bank,1417_NR_0022,1417,NR,test5,2,52,,,2024-04-30 11:49:32.300,22,2024-04-30 11:49:32.300,2024-04-30,52,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
230,1596,ICICI Bank,1417_CR_0060,1417,CR,test5,20,2,,,2024-04-30 18:22:52.693,60,2024-04-30 18:22:52.693,2024-04-30,2,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
231,1596,ICICI Bank,1417_NR_0023,1417,NR,e,0,ewe,,,2024-04-30 18:57:51.253,23,2024-04-30 18:57:51.253,2024-04-30,33,Approved,Resume,1634.0,,2024-05-13 10:36:35.963,,,,
232,1596,Kotak General Insurance,2483_NR_0004,2483,NR,test5,,20,,,2024-05-02 16:32:57.720,4,2024-05-02 16:32:57.720,2024-05-02,2,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
233,1596,ICICI Bank,1417_NR_0024,1417,NR,ss,1,w,,,2024-05-03 11:00:35.560,24,2024-05-03 11:00:35.560,2024-05-03,1,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
234,1596,ICICI Bank,1417_NR_0025,1417,NR,ww,1,wwww,,,2024-05-03 11:00:50.340,25,2024-05-03 11:00:50.340,2024-05-03,111,Approved,On Hold,1596.0,,2024-05-13 10:36:35.963,,,,
235,1596,ICICI Lombard,2679_CR_0022,2679,CR,123,15,testing,,,2024-05-03 12:07:21.373,22,2024-05-03 12:07:21.373,2024-04-02,20,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
236,1596,ICICI Bank,1417_CR_0061,1417,CR,test5,22,5,,,2024-05-04 10:22:04.537,61,2024-05-04 10:22:04.537,2024-05-04,5,Approved,On Hold,1634.0,,2024-05-13 10:36:35.963,,,,
237,1596,ICICI Bank,1417_CR_0062,1417,CR,testing_1,0,test,,,2024-05-06 11:17:18.817,62,2024-05-06 11:17:18.817,2024-05-06,1010,Rejected,Resume,1634.0,,2024-05-13 10:36:35.963,,,,
238,1596,ICICI Bank,1417_NR_0026,1417,NR,test_2,1212,test,,,2024-05-06 11:17:37.763,26,2024-05-06 11:17:37.763,2024-05-06,1212,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
239,1596,Kotak General Insurance,2483_NR_0005,2483,NR,tes,,dfd,,,2024-05-06 12:38:21.367,5,2024-05-06 12:38:21.367,2024-05-06,33,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
240,1596,Kotak General Insurance,2483_CR_0004,2483,CR,test,,ssdsd,,,2024-05-06 12:50:36.610,4,2024-05-06 12:50:36.610,2024-05-06,50,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
241,1596,ICICI Lombard,2679_CR_0023,2679,CR,er,23,gre,,,2024-05-06 13:14:27.480,23,2024-05-06 13:14:27.480,2024-05-06,33,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
242,1596,ICICI Lombard,2679_NR_0009,2679,NR,ds,30,sdf,,,2024-05-06 13:32:46.037,9,2024-05-06 13:32:46.037,2024-05-06,34,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
243,1596,Kotak General Insurance,2483_CR_0005,2483,CR,ee,,dd,,,2024-05-06 15:03:40.730,5,2024-05-06 15:03:40.730,2024-05-06,44,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
244,1596,Kotak General Insurance,2483_CR_0006,2483,CR,test,,dsd,,,2024-05-06 15:07:12.457,6,2024-05-06 15:07:12.457,2024-05-06,25,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
245,1596,Kotak General Insurance,2483_NR_0006,2483,NR,dsd,,nr,,,2024-05-06 15:07:42.843,6,2024-05-06 15:07:42.843,2024-05-06,25,Pending with Business,Pending,,,2024-05-13 10:36:35.963,,,,
246,1596,ICICI Bank,1417_CR_0063,1417,CR,test13,,1,,,2024-05-06 15:59:53.577,63,2024-05-06 15:59:53.577,2024-05-06,1,Rejected,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
247,1596,ICICI Bank,1417_CR_0064,1417,CR,test5,222,2,,,2024-05-06 16:03:10.663,64,2024-05-06 16:03:10.663,2024-05-06,2,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
248,1596,ICICI Lombard,2679_CR_0024,2679,CR,rere,0,asas,,,2024-05-07 17:52:17.527,24,2024-05-07 17:52:17.527,2024-05-07,44,Consider Within Scope,You have to start,1634.0,,2025-03-04 10:03:27.807,,,,
249,1596,Kotak General Insurance,2483_CR_0007,2483,CR,ee,10,ddd,,,2024-05-07 18:06:49.510,7,2024-05-07 18:06:49.510,2024-05-07,44,Approved,You have to start,1661.0,,2024-10-08 13:17:51.403,,,,
250,1596,ICICI Bank,1417_CR_0065,1417,CR,1test,12,test,,,2024-05-08 10:57:05.347,65,2024-05-08 10:57:05.347,2024-05-08,123,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
251,1596,ICICI Bank,1417_NR_0027,1417,NR,2test,10,test,,,2024-05-08 10:59:35.057,27,2024-05-08 10:59:35.057,2024-05-08,321,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
252,1596,ICICI Bank,1417_NR_0028,1417,NR,ww,3232,w,,,2024-05-08 13:38:12.510,28,2024-05-08 13:38:12.510,2024-05-08,1,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
253,1596,ICICI Bank,1417_CR_0066,1417,CR,1233,16,Testing,,,2024-05-13 10:35:59.190,66,2024-05-13 10:35:59.190,2024-03-05,10,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
254,1596,ICICI Bank,1417_NR_0029,1417,NR,123,10,testing,,,2024-05-13 10:36:35.963,29,2024-05-13 10:36:35.963,2024-05-01,12,Approved,In Progress,1634.0,,2024-05-13 10:36:35.963,,,,
255,1596,ICICI Bank,1417_CR_0067,1417,CR,qqq,0,q,,,2024-05-13 15:19:45.110,67,2024-05-13 15:19:45.110,2024-05-13,111,Absorbed,Done,1634.0,,2024-05-13 10:36:35.963,,,,
256,1596,ICICI Bank,1417_NR_0030,1417,NR,ws,,w,,,2024-05-13 15:32:24.160,30,2024-05-13 15:32:24.160,2024-05-13,1212,Rejected,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
257,1596,ICICI Bank,1417_CR_0068,1417,CR,123,8,Testing,,,2024-05-14 11:43:03.303,68,2024-05-14 11:43:03.303,2024-05-01,10,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
258,1550,ITC Stationary,2612_CR_0001,2612,CR,ww,44,g,,,2024-07-02 10:57:42.097,1,2024-07-02 10:57:42.097,2024-07-02,66,Approved,You have to start,1661.0,,2025-07-01 11:39:41.247,,,44555666,Yes
259,1550,Titan,2593_CR_0001,2593,CR,test 1,0,qwe,,,2024-07-02 10:59:42.090,1,2024-07-02 10:59:42.090,2024-07-02,11,Absorbed,Resume,1634.0,,2024-05-13 10:36:35.963,,,,
260,1550,Titan,2593_NR_0001,2593,NR,test 2,4,ee,,,2024-07-02 10:59:59.387,1,2024-07-02 10:59:59.387,2024-07-02,123,Approved,Done,1634.0,yes,2024-05-13 10:36:35.963,,,,
261,1550,Titan,2593_CR_0002,2593,CR,tessss,,s,,,2024-07-02 11:06:06.070,2,2024-07-02 11:06:06.070,2024-07-02,99,Rejected,Pending,1634.0,,2024-05-13 10:36:35.963,,,,
262,1596,ICICI Lombard,2679_NR_0010,2679,NR,testsds,0,dfsd,,,2024-08-21 10:36:50.733,10,2024-08-21 10:36:50.733,2024-08-21,333,Absorbed,In Progress,1634.0,,2024-08-21 11:09:24.787,,,,
263,1596,Kotak General Insurance,2483_CR_0008,2483,CR,ere,,dfs,,,2024-08-21 11:17:19.220,8,2024-08-21 11:17:19.220,2024-08-21,44,Pending with Business,Pending,,,2024-08-21 11:17:19.220,,,,
264,1262,Poonawala Fincorp,2627_CR_0001,2627,CR,TestCR1,,"TestCR1 Description
Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",,,2024-10-03 15:40:04.970,1,2024-10-03 15:40:04.970,2024-10-03,200,Pending with Business,Pending,,,2024-10-03 15:40:04.970,,,,
265,1262,Poonawala Fincorp,2627_CR_0002,2627,CR,TestCR1,,"TestCR1 Description
Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",,,2024-10-03 15:40:16.137,2,2024-10-03 15:40:16.137,2024-10-03,200,Pending with Business,Pending,,,2024-10-03 15:40:16.137,,,,
266,1596,Zurich Kotak,2634_CR_0001,2634,CR,TestCR1,,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",,,2024-10-03 15:57:41.077,1,2024-10-03 15:57:41.077,2024-10-03,300,Pending with Business,Pending,,,2024-10-03 15:57:41.077,,,,
